ID	Species	Culture collection number	Isolation source	Country	Continent	Category 1	Category 2	Category 3	joined_1_2
155386	Clostridium perfringens	CCUG 57575	Human blood,93-yr-old man	Sweden	Europe	Infection###Host Body Product###Host	Patient###Fluids###Human	Blood###Male	Host Body Product@@@Fluids###Infection@@@Patient###Host@@@Human
155387	Microbacterium muralis	CCUG 57579	Wall material	Germany	Europe	Engineered	Built environment		Engineered@@@Built environment
155388	Saccharopolyspora sp.	CCUG 57580	Wall material	Germany	Europe	Engineered	Built environment		Engineered@@@Built environment
155389	Nocardia sp.	CCUG 57581	Wall material,water damaged	Germany	Europe	Engineered	Built environment		Engineered@@@Built environment
155390	Corynebacterium pseudogenitalium	CCUG 57591	Human blood,15-yr-old female	Sweden	Europe	Host###Infection###Host Body Product###Host	Human###Patient###Fluids###Human	Child###Blood###Female	Host Body Product@@@Fluids###Host@@@Human###Infection@@@Patient
155391	Streptococcus oralis	CCUG 57592	Human blood,65-yr-old man	Sweden	Europe	Infection###Host Body Product###Host	Patient###Fluids###Human	Blood###Male	Host Body Product@@@Fluids###Infection@@@Patient###Host@@@Human
155392	Gordonia sputi	CCUG 57593	Product,industry	Sweden	Europe	Engineered	Industrial	Engineered product	Engineered@@@Industrial
155393	Neisseria gonorrhoeae	CCUG 57595	Human,urogenital	Canada	North America	Infection###Host	Patient###Human		Infection@@@Patient###Host@@@Human
155394	Neisseria gonorrhoeae	CCUG 57596	Human,urogenital	Thailand	Asia	Infection###Host	Patient###Human		Infection@@@Patient###Host@@@Human
155395	Neisseria gonorrhoeae	CCUG 57597	Human,urogenital	Japan	Asia	Infection###Host	Patient###Human		Infection@@@Patient###Host@@@Human
155396	Neisseria gonorrhoeae	CCUG 57598	Human,urogenital	Asia	Asia	Infection###Host	Patient###Human		Infection@@@Patient###Host@@@Human
155397	Neisseria gonorrhoeae	CCUG 57599	Human,urogenital	Philippines	Asia	Infection###Host	Patient###Human		Infection@@@Patient###Host@@@Human
155398	Neisseria gonorrhoeae	CCUG 57600	Human,urogenital	Australia	Australia and Oceania	Infection###Host	Patient###Human		Infection@@@Patient###Host@@@Human
155399	Neisseria gonorrhoeae	CCUG 57601	Human,urogenital	Canada	North America	Infection###Host	Patient###Human		Infection@@@Patient###Host@@@Human
155400	Neisseria gonorrhoeae	CCUG 57602	Human,urogenital	USA	North America	Infection###Host	Patient###Human		Infection@@@Patient###Host@@@Human
